from_stop_id,to_stop_id,transfer_type,min_transfer_time
6217400,2517,2,194
3926215,2286,2,198
6423479,2513,2,218
3926281,2278,2,207
4199333,2183,2,268
3765147,2227,2,280
3926214,2286,2,186
4008214,2441,2,241
5121020,1804,2,240
3764769,2441,2,301
3687683,1993,2,268
6591507,2280,2,215
3749914,2460,2,199
3926215,1890,2,198
3740321,2517,2,234
4015763,2280,2,216
3442581,1884,2,240
4037046,1678,2,270
3749904,2162,2,272
4459241,2286,2,198
7013443,1936,2,285
3764740,2358,2,225
7275146,1678,2,257
5121342,1884,2,215
7131568,2280,2,197
2469,2460,2,480
4726917,2286,2,186
4016276,1712,2,267
3765240,1708,2,211
3749905,2162,2,219
2467,2460,2,480
6591510,2088,2,251
7013442,1747,2,233
4015757,2425,2,216
3687684,1993,2,270
3764741,1730,2,301
3764768,1819,2,225
7176249,1890,2,257
2226,2227,2,86
6217413,1715,2,243
4008877,2425,2,225
1715,4473188,2,243
7176290,1890,2,198
4009665,1890,2,254
1946,2200,2,300
6664357,2531,2,203
3740321,1637,2,234
2487,2488,2,90
7376286,2460,2,243
6263558,2183,2,262
6591548,2527,2,229
4037268,2527,2,217
4008919,2343,2,242
4022958,1730,2,223
3765147,1972,2,280
3765277,1882,2,203
4037285,2358,2,212
2338,1651,2,138
6423508,1651,2,204
3764742,2201,2,262
7827085,2549,2,319
3740516,1890,2,257
4036750,1890,2,198
4008856,2517,2,216
3681850,1884,2,225
4008918,1804,2,240
5121344,2280,2,297
3747929,1633,2,239
4726957,2488,2,281
4009641,2286,2,241
4008834,2227,2,232
6263560,2269,2,213
2449,5922167,2,256
6263593,1873,2,195
7013445,1816,2,234
3442581,2280,2,240
4008240,2242,2,192
6423469,2527,2,256
6591511,2343,2,202
3807569,2488,2,189
4199339,1873,2,240
6263559,2183,2,191
4036751,2286,2,186
3689892,2269,2,311
6423479,1633,2,218
2302,2531,2,171
5231591,2183,2,262
6591507,1884,2,215
2354,2353,2,71
4008875,1747,2,201
5657310,1882,2,207
3689893,2269,2,206
3687678,2269,2,207
3747812,2286,2,186
2497,2517,2,81
4726956,1647,2,279
6423466,2527,2,207
4199335,1993,2,270
3926258,1745,2,226
3764796,2286,2,198
5231590,2183,2,268
1724,1715,2,480
7013444,1936,2,235
5121010,1804,2,254
4008918,2343,2,240
5121859,2343,2,240
4996989,1647,2,207
3893406,1730,2,241
4009665,2286,2,254
3343770,1702,2,180
2487,1678,2,119
4459279,1993,2,288
3765234,2517,2,194
3764797,2286,2,186
5121341,1884,2,195
3740557,1819,2,227
3749908,2201,2,190
4473414,1804,2,254
7827085,2088,2,319
5657318,1651,2,250
3926289,2531,2,196
4037209,2201,2,253
7013443,2261,2,285
4199334,1993,2,291
2338,2531,2,122
6591500,1747,2,201
4834559,2343,2,240
3811230,1972,2,195
7275216,2488,2,270
5231632,2183,2,288
4726917,1890,2,186
6263557,1993,2,288
4036825,1702,2,192
4036659,1890,2,186
7647698,1745,2,192
4008886,1917,2,192
4146113,1745,2,219
7176249,2286,2,257
7647698,2423,2,192
3926278,2423,2,203
7013442,2425,2,233
7131598,2088,2,316
3765191,2286,2,198
6263593,2269,2,195
7827023,2549,2,221
3811243,2201,2,194
3343775,2488,2,180
7013440,1747,2,206
3893471,2201,2,240
3926287,1651,2,198
3343771,2457,2,180
5657318,2531,2,250
2497,1637,2,96
3672265,1745,2,213
3748084,1651,2,204
3749785,1712,2,253
3343770,2447,2,180
5018334,1678,2,257
6423483,2151,2,204
3764552,2457,2,267
7275216,1678,2,270
4008213,2358,2,212
5121344,1884,2,297
